filename;parameters;eucl_dist_v1_mean;eucl_dist_v1_min;eucl_dist_v1_max;eucl_dist_v1_std;eucl_dist_v2_mean;eucl_dist_v2_min;eucl_dist_v2_max;eucl_dist_v2_std;min_error_mean;min_error_min;min_error_max;min_error_std;euclid_dist_v1;euclid_dist_v2;min_error
func_test/test_functions2_0;;NA
func_test/test_functions2_1;;NA
func_test/test_functions2_2;;NA
func_test/test_functions2_3;;NA
func_test/test_functions2_4;;NA
func_test/test_functions4_0;;NA
func_test/test_functions4_1;;NA
func_test/test_functions4_2;;NA
func_test/test_functions4_3;;NA
func_test/test_functions4_4;;NA
func_test/test_functions_adadelta_2_0_noisefree_complete;;0.397896934406 ; 0.150721591512 ; 0.822658239051 ; 0.218077846402 ; 0.580277546427 ; 0.427725306198 ; 0.802927504995 ; 0.10374785113 ; 0.000724864 ; 6.68e-05 ; 0.00168885 ; 0.00045552769652 ; [0.822658239050555, 0.3802954073059521, 0.23716770883490862, 0.2382581322053876, 0.6842137961261524, 0.2444983339329739, 0.5312079360184673, 0.18134119026299564, 0.5086070088093557, 0.15072159151229797] ; [0.8029275049951646, 0.5029757417788655, 0.5177925473720145, 0.42772530619779786, 0.6413988765264249, 0.6719766627614384, 0.48830919640019066, 0.6299316846182607, 0.5823384663664251, 0.5373994772494665] ; [0.00110221, 0.000827314, 0.000341036, 0.0001694, 0.00087193, 6.68e-05, 0.00168885, 0.000684266, 0.000548916, 0.000947918]
func_test/test_functions_adadelta_2_0_noisefree_power;;0.397896934406 ; 0.150721591512 ; 0.822658239051 ; 0.218077846402 ; 0.580277546427 ; 0.427725306198 ; 0.802927504995 ; 0.10374785113 ; 0.000724864 ; 6.68e-05 ; 0.00168885 ; 0.00045552769652 ; [0.822658239050555, 0.3802954073059521, 0.23716770883490862, 0.2382581322053876, 0.6842137961261524, 0.2444983339329739, 0.5312079360184673, 0.18134119026299564, 0.5086070088093557, 0.15072159151229797] ; [0.8029275049951646, 0.5029757417788655, 0.5177925473720145, 0.42772530619779786, 0.6413988765264249, 0.6719766627614384, 0.48830919640019066, 0.6299316846182607, 0.5823384663664251, 0.5373994772494665] ; [0.00110221, 0.000827314, 0.000341036, 0.0001694, 0.00087193, 6.68e-05, 0.00168885, 0.000684266, 0.000548916, 0.000947918]
func_test/test_functions_adadelta_2_1_noisefree_complete;;0.397896934406 ; 0.150721591512 ; 0.822658239051 ; 0.218077846402 ; 0.580277546427 ; 0.427725306198 ; 0.802927504995 ; 0.10374785113 ; 0.000724864 ; 6.68e-05 ; 0.00168885 ; 0.00045552769652 ; [0.822658239050555, 0.3802954073059521, 0.23716770883490862, 0.2382581322053876, 0.6842137961261524, 0.2444983339329739, 0.5312079360184673, 0.18134119026299564, 0.5086070088093557, 0.15072159151229797] ; [0.8029275049951646, 0.5029757417788655, 0.5177925473720145, 0.42772530619779786, 0.6413988765264249, 0.6719766627614384, 0.48830919640019066, 0.6299316846182607, 0.5823384663664251, 0.5373994772494665] ; [0.00110221, 0.000827314, 0.000341036, 0.0001694, 0.00087193, 6.68e-05, 0.00168885, 0.000684266, 0.000548916, 0.000947918]
func_test/test_functions_adadelta_2_1_noisefree_power;;0.397896934406 ; 0.150721591512 ; 0.822658239051 ; 0.218077846402 ; 0.580277546427 ; 0.427725306198 ; 0.802927504995 ; 0.10374785113 ; 0.000724864 ; 6.68e-05 ; 0.00168885 ; 0.00045552769652 ; [0.822658239050555, 0.3802954073059521, 0.23716770883490862, 0.2382581322053876, 0.6842137961261524, 0.2444983339329739, 0.5312079360184673, 0.18134119026299564, 0.5086070088093557, 0.15072159151229797] ; [0.8029275049951646, 0.5029757417788655, 0.5177925473720145, 0.42772530619779786, 0.6413988765264249, 0.6719766627614384, 0.48830919640019066, 0.6299316846182607, 0.5823384663664251, 0.5373994772494665] ; [0.00110221, 0.000827314, 0.000341036, 0.0001694, 0.00087193, 6.68e-05, 0.00168885, 0.000684266, 0.000548916, 0.000947918]
func_test/test_functions_adadelta_2_2_noisefree_complete;;0.35234377215 ; 0.0425791362054 ; 0.940384134812 ; 0.28079617379 ; 0.536189552241 ; 0.377824449516 ; 0.835765410271 ; 0.14094324764 ; 0.0017190301 ; 0.000223239 ; 0.00466703 ; 0.00142509124424 ; [0.1310798522618942, 0.7989887512623753, 0.28518996239699607, 0.3356880926753286, 0.9403841348119607, 0.437827625916867, 0.0425791362054234, 0.16916665206830805, 0.1721637115073905, 0.21036980239093256] ; [0.4555040369403985, 0.7347979481761023, 0.3778244495159094, 0.5966322951064583, 0.8357654102713512, 0.5477262363772618, 0.5089754245933686, 0.4015549229831456, 0.47265986032240975, 0.4304549381270937] ; [0.00145191, 0.00466703, 0.00109524, 0.000259045, 0.00328865, 0.00149601, 0.000588759, 0.000223239, 0.000884418, 0.003236]
func_test/test_functions_adadelta_2_2_noisefree_power;;0.35234377215 ; 0.0425791362054 ; 0.940384134812 ; 0.28079617379 ; 0.536189552241 ; 0.377824449516 ; 0.835765410271 ; 0.14094324764 ; 0.0017190301 ; 0.000223239 ; 0.00466703 ; 0.00142509124424 ; [0.1310798522618942, 0.7989887512623753, 0.28518996239699607, 0.3356880926753286, 0.9403841348119607, 0.437827625916867, 0.0425791362054234, 0.16916665206830805, 0.1721637115073905, 0.21036980239093256] ; [0.4555040369403985, 0.7347979481761023, 0.3778244495159094, 0.5966322951064583, 0.8357654102713512, 0.5477262363772618, 0.5089754245933686, 0.4015549229831456, 0.47265986032240975, 0.4304549381270937] ; [0.00145191, 0.00466703, 0.00109524, 0.000259045, 0.00328865, 0.00149601, 0.000588759, 0.000223239, 0.000884418, 0.003236]
func_test/test_functions_adadelta_2_3_noisefree_complete;;0.35234377215 ; 0.0425791362054 ; 0.940384134812 ; 0.28079617379 ; 0.536189552241 ; 0.377824449516 ; 0.835765410271 ; 0.14094324764 ; 0.0017190301 ; 0.000223239 ; 0.00466703 ; 0.00142509124424 ; [0.1310798522618942, 0.7989887512623753, 0.28518996239699607, 0.3356880926753286, 0.9403841348119607, 0.437827625916867, 0.0425791362054234, 0.16916665206830805, 0.1721637115073905, 0.21036980239093256] ; [0.4555040369403985, 0.7347979481761023, 0.3778244495159094, 0.5966322951064583, 0.8357654102713512, 0.5477262363772618, 0.5089754245933686, 0.4015549229831456, 0.47265986032240975, 0.4304549381270937] ; [0.00145191, 0.00466703, 0.00109524, 0.000259045, 0.00328865, 0.00149601, 0.000588759, 0.000223239, 0.000884418, 0.003236]
func_test/test_functions_adadelta_2_3_noisefree_power;;0.35234377215 ; 0.0425791362054 ; 0.940384134812 ; 0.28079617379 ; 0.536189552241 ; 0.377824449516 ; 0.835765410271 ; 0.14094324764 ; 0.0017190301 ; 0.000223239 ; 0.00466703 ; 0.00142509124424 ; [0.1310798522618942, 0.7989887512623753, 0.28518996239699607, 0.3356880926753286, 0.9403841348119607, 0.437827625916867, 0.0425791362054234, 0.16916665206830805, 0.1721637115073905, 0.21036980239093256] ; [0.4555040369403985, 0.7347979481761023, 0.3778244495159094, 0.5966322951064583, 0.8357654102713512, 0.5477262363772618, 0.5089754245933686, 0.4015549229831456, 0.47265986032240975, 0.4304549381270937] ; [0.00145191, 0.00466703, 0.00109524, 0.000259045, 0.00328865, 0.00149601, 0.000588759, 0.000223239, 0.000884418, 0.003236]
func_test/test_functions_adadelta_2_4_noisefree_complete;;0.35234377215 ; 0.0425791362054 ; 0.940384134812 ; 0.28079617379 ; 0.536189552241 ; 0.377824449516 ; 0.835765410271 ; 0.14094324764 ; 0.0017190301 ; 0.000223239 ; 0.00466703 ; 0.00142509124424 ; [0.1310798522618942, 0.7989887512623753, 0.28518996239699607, 0.3356880926753286, 0.9403841348119607, 0.437827625916867, 0.0425791362054234, 0.16916665206830805, 0.1721637115073905, 0.21036980239093256] ; [0.4555040369403985, 0.7347979481761023, 0.3778244495159094, 0.5966322951064583, 0.8357654102713512, 0.5477262363772618, 0.5089754245933686, 0.4015549229831456, 0.47265986032240975, 0.4304549381270937] ; [0.00145191, 0.00466703, 0.00109524, 0.000259045, 0.00328865, 0.00149601, 0.000588759, 0.000223239, 0.000884418, 0.003236]
func_test/test_functions_adadelta_2_4_noisefree_power;;0.704454932414 ; 0.115241679802 ; 1.16807398737 ; 0.309773145321 ; 1.9841437378 ; 1.78972194758 ; 2.37418280439 ; 0.173925044889 ; 0.0039562135 ; 0.000287921 ; 0.0106929 ; 0.00393632157482 ; [0.618760150809716, 0.7968339605212243, 0.30834710851946645, 0.9864431362631647, 0.605260886418429, 1.1680739873718815, 0.11524167980164182, 0.8094210533725755, 1.040009979843761, 0.5961573812192825] ; [1.909608971551522, 2.37418280438553, 1.9747559310791587, 1.9753962663427074, 1.8487455305227982, 1.9315053756008154, 1.990487757802972, 1.789721947578106, 1.820286606601999, 2.2267461865201956] ; [0.00421372, 0.000826135, 0.00167725, 0.000661079, 0.00114551, 0.0106929, 0.000287921, 0.00792212, 0.0104063, 0.0017292]
